=== Skipped Methods (VerifyError/Exceptions during body building) ===
Format: methodSig | exceptionType | message
<net.openhft.chronicle.bytes.Bytes: net.openhft.chronicle.bytes.Bytes unchecked(boolean)> | java.lang.VerifyError | Cannot inherit from final class
<net.openhft.chronicle.bytes.BytesStore: net.openhft.chronicle.bytes.BytesStore wrap(java.nio.ByteBuffer)> | java.lang.VerifyError | Cannot inherit from final class
<net.openhft.chronicle.bytes.internal.BytesInternal: java.lang.Object asSize(long)> | java.lang.VerifyError | Cannot inherit from final class
<net.openhft.chronicle.bytes.ref.UncheckedLongReference: net.openhft.chronicle.bytes.ref.LongReference create(net.openhft.chronicle.bytes.BytesStore,long,int)> | java.lang.VerifyError | Cannot inherit from final class
<net.openhft.chronicle.core.internal.util.ThreadConfinementLifecycle: net.openhft.chronicle.core.util.ThreadConfinementAsserter create(boolean)> | java.lang.VerifyError | Cannot inherit from final class
<net.openhft.chronicle.core.io.AbstractCloseable: void assertCloseablesClosed()> | java.lang.VerifyError | Cannot inherit from final class
<net.openhft.chronicle.core.io.IOTools: void writeFile(java.lang.String,byte[])> | java.lang.VerifyError | Cannot inherit from final class
<net.openhft.chronicle.core.io.ReferenceCountedTracer: net.openhft.chronicle.core.io.ReferenceCountedTracer onReleased(java.lang.Runnable,java.util.function.Supplier,java.lang.Class)> | java.lang.VerifyError | Cannot inherit from final class
<net.openhft.chronicle.core.io.TracingReferenceCounted: java.lang.IllegalStateException throwInvalidReleaseException(net.openhft.chronicle.core.io.ReferenceOwner)> | java.lang.VerifyError | Cannot inherit from final class
<net.openhft.chronicle.core.pool.EnumCache: net.openhft.chronicle.core.pool.EnumCache createFromUnknownClass(java.lang.Class)> | java.lang.VerifyError | Cannot inherit from final class
<net.openhft.chronicle.queue.impl.single.SingleChronicleQueue: void <init>(net.openhft.chronicle.queue.impl.single.SingleChronicleQueueBuilder)> | java.lang.VerifyError | Cannot inherit from final class
<net.openhft.chronicle.queue.impl.single.SingleChronicleQueueBuilder: net.openhft.chronicle.queue.impl.single.WriteLock writeLock()> | java.lang.VerifyError | Cannot inherit from final class
<net.openhft.chronicle.queue.impl.single.StoreAppender: void checkAppendLockLocked(boolean)> | java.lang.VerifyError | Cannot inherit from final class
<net.openhft.chronicle.threads.Pauser: net.openhft.chronicle.threads.Pauser busy()> | java.lang.VerifyError | Cannot inherit from final class
<net.openhft.chronicle.wire.BinaryWire: net.openhft.chronicle.wire.ValueIn readEventName(java.lang.StringBuilder)> | java.lang.VerifyError | Cannot inherit from final class
<net.openhft.chronicle.wire.BinaryWire: net.openhft.chronicle.wire.ValueIn read()> | java.lang.VerifyError | Cannot inherit from final class
<net.openhft.chronicle.wire.BinaryWire: net.openhft.chronicle.wire.ValueIn read(java.lang.StringBuilder)> | java.lang.VerifyError | Cannot inherit from final class
<net.openhft.chronicle.wire.LongConverter: net.openhft.chronicle.wire.LongConverter forSymbols(java.lang.String)> | java.lang.VerifyError | Cannot inherit from final class
<net.openhft.chronicle.wire.TextMethodTester: net.openhft.chronicle.wire.Wire createWire(net.openhft.chronicle.bytes.Bytes)> | java.lang.VerifyError | Cannot inherit from final class
<net.openhft.chronicle.wire.channel.ChronicleChannel: net.openhft.chronicle.wire.channel.ChronicleChannel newChannel(net.openhft.chronicle.wire.channel.impl.SocketRegistry,net.openhft.chronicle.wire.channel.ChronicleChannelCfg,net.openhft.chronicle.wire.channel.ChannelHeader)> | java.lang.VerifyError | Cannot inherit from final class
<net.openhft.chronicle.wire.channel.ChronicleGatewayMain: void handle(net.openhft.chronicle.wire.channel.impl.TCPChronicleChannel)> | java.lang.VerifyError | Cannot inherit from final class
<net.openhft.chronicle.wire.channel.ChronicleServiceMain: void run()> | java.lang.VerifyError | Cannot inherit from final class
<net.openhft.chronicle.wire.channel.SystemContext: net.openhft.chronicle.wire.channel.SystemContext getInstance()> | java.lang.VerifyError | Cannot inherit from final class
<net.openhft.chronicle.wire.channel.impl.BufferedChronicleChannel: void <init>(net.openhft.chronicle.wire.channel.impl.TCPChronicleChannel,net.openhft.chronicle.threads.Pauser)> | java.lang.VerifyError | Cannot inherit from final class
<net.openhft.chronicle.wire.internal.extractor.DocumentExtractorBuilder: java.util.function.Supplier guardedSupplier()> | java.lang.VerifyError | Cannot inherit from final class
<net.openhft.posix.internal.PosixAPIHolder: void <clinit>()> | java.lang.VerifyError | Cannot inherit from final class
<org.HdrHistogram.DoubleRecorder: void <init>(int,boolean)> | java.lang.VerifyError | Cannot inherit from final class
<org.HdrHistogram.HistogramLogProcessor: void run()> | java.lang.VerifyError | Cannot inherit from final class
<org.HdrHistogram.Recorder: void <init>(int,boolean)> | java.lang.VerifyError | Cannot inherit from final class
<org.HdrHistogram.SingleWriterDoubleRecorder: void <init>(int,boolean)> | java.lang.VerifyError | Cannot inherit from final class
<org.HdrHistogram.SingleWriterRecorder: void <init>(int,boolean)> | java.lang.VerifyError | Cannot inherit from final class
<org.agrona.concurrent.status.AtomicLongPosition: java.lang.String toString()> | java.lang.VerifyError | Cannot inherit from final class
<org.apache.cassandra.config.DatabaseDescriptor: org.apache.cassandra.db.commitlog.AbstractCommitLogSegmentManager lambda$static$0(org.apache.cassandra.db.commitlog.CommitLog)> | java.lang.VerifyError | Cannot inherit from final class
<org.apache.cassandra.cql3.Cql_Parser: void normalColumnOperation(java.util.List,org.apache.cassandra.cql3.ColumnIdentifier)> | java.lang.VerifyError | Cannot inherit from final class
<org.apache.cassandra.cql3.Cql_Parser: org.apache.cassandra.cql3.Json$Raw jsonValue()> | java.lang.VerifyError | Cannot inherit from final class
<org.apache.cassandra.cql3.Cql_Parser: org.apache.cassandra.cql3.selection.Selectable$Raw collectionSubSelection(org.apache.cassandra.cql3.selection.Selectable$Raw)> | java.lang.VerifyError | Cannot inherit from final class
<org.apache.cassandra.cql3.Cql_Parser: void shorthandColumnOperation(java.util.List,org.apache.cassandra.cql3.ColumnIdentifier)> | java.lang.VerifyError | Cannot inherit from final class
<org.apache.cassandra.cql3.Cql_Parser: void orderByClause(java.util.List)> | java.lang.VerifyError | Cannot inherit from final class
<org.apache.cassandra.cql3.Cql_Parser: org.apache.cassandra.cql3.selection.Selectable$Raw simpleUnaliasedSelector()> | java.lang.VerifyError | Cannot inherit from final class
<org.apache.cassandra.cql3.Cql_Parser: org.apache.cassandra.auth.IResource resource()> | java.lang.VerifyError | Cannot inherit from final class
<org.apache.cassandra.cql3.Cql_Parser: org.apache.cassandra.cql3.selection.Selectable$Raw selectionFunction()> | java.lang.VerifyError | Cannot inherit from final class
<org.apache.cassandra.cql3.Cql_Parser: org.apache.cassandra.cql3.Operation$RawDeletion deleteOp()> | java.lang.VerifyError | Cannot inherit from final class
<org.apache.cassandra.cql3.Cql_Parser: org.apache.cassandra.cql3.Term$Raw selectionLiteral()> | java.lang.VerifyError | Cannot inherit from final class
<org.apache.cassandra.cql3.Cql_Parser: org.apache.cassandra.cql3.CQLStatement$Raw cqlStatement()> | java.lang.VerifyError | Cannot inherit from final class
<org.apache.cassandra.cql3.Cql_Parser: org.apache.cassandra.cql3.statements.AlterRoleStatement alterRoleStatement()> | java.lang.VerifyError | Cannot inherit from final class
<org.apache.cassandra.cql3.Cql_Parser: org.apache.cassandra.cql3.Term$Raw intValue()> | java.lang.VerifyError | Cannot inherit from final class
<org.apache.cassandra.cql3.Cql_Parser: org.apache.cassandra.cql3.statements.ModificationStatement$Parsed insertStatement()> | java.lang.VerifyError | Cannot inherit from final class
<org.apache.cassandra.cql3.MultiColumnRelation: java.lang.String toCQLString()> | java.lang.VerifyError | Cannot inherit from final class
<org.apache.cassandra.cql3.functions.types.VectorCodec: org.apache.cassandra.cql3.functions.types.VectorCodec of(org.apache.cassandra.cql3.functions.types.VectorType,org.apache.cassandra.cql3.functions.types.TypeCodec)> | java.lang.VerifyError | Cannot inherit from final class
<org.apache.cassandra.cql3.restrictions.StatementRestrictions: org.apache.cassandra.dht.AbstractBounds getPartitionKeyBounds(org.apache.cassandra.dht.IPartitioner,org.apache.cassandra.cql3.QueryOptions)> | java.lang.VerifyError | Cannot inherit from final class
<org.apache.cassandra.cql3.selection.Selection: org.apache.cassandra.cql3.selection.Selection fromSelectors(org.apache.cassandra.schema.TableMetadata,java.util.List,org.apache.cassandra.cql3.VariableSpecifications,java.util.Set,java.util.Set,boolean,boolean,boolean)> | java.lang.VerifyError | Cannot inherit from final class
<org.apache.cassandra.cql3.statements.BatchStatement: java.util.List getMutations(org.apache.cassandra.service.ClientState,org.apache.cassandra.cql3.BatchQueryOptions,boolean,long,long,org.apache.cassandra.transport.Dispatcher$RequestTime)> | java.lang.VerifyError | Cannot inherit from final class
<org.apache.cassandra.cql3.statements.BatchUpdatesCollector: org.apache.cassandra.cql3.statements.BatchUpdatesCollector$IMutationBuilder makeMutationBuilder(org.apache.cassandra.schema.TableMetadata,org.apache.cassandra.db.DecoratedKey,org.apache.cassandra.db.ConsistencyLevel)> | java.lang.VerifyError | Cannot inherit from final class
<org.apache.cassandra.cql3.statements.SingleTableUpdatesCollector: java.util.List toMutations(org.apache.cassandra.service.ClientState)> | java.lang.VerifyError | Cannot inherit from final class
<org.apache.cassandra.cql3.statements.schema.CreateTableStatement: void fixupCompactTable(java.util.List,java.util.Map,boolean,org.apache.cassandra.schema.TableMetadata$Builder)> | java.lang.VerifyError | Cannot inherit from final class
<org.apache.cassandra.db.ArrayClusteringBoundOrBoundary: org.apache.cassandra.db.ClusteringBoundOrBoundary create(org.apache.cassandra.db.ClusteringPrefix$Kind,byte[][])> | java.lang.VerifyError | Cannot inherit from final class
<org.apache.cassandra.db.MultiCBuilder: org.apache.cassandra.db.MultiCBuilder create(org.apache.cassandra.db.ClusteringComparator,boolean)> | java.lang.VerifyError | Cannot inherit from final class
<org.apache.cassandra.db.RangeTombstoneList: java.util.Iterator iterator(boolean)> | java.lang.VerifyError | Cannot inherit from final class
<org.apache.cassandra.db.compaction.CompactionIterator: void <init>(org.apache.cassandra.db.compaction.OperationType,java.util.List,org.apache.cassandra.db.AbstractCompactionController,long,org.apache.cassandra.utils.TimeUUID,org.apache.cassandra.db.compaction.ActiveCompactionsTracker,org.apache.cassandra.metrics.TopPartitionTracker$Collector)> | java.lang.VerifyError | Cannot inherit from final class
<org.apache.cassandra.db.compaction.CompactionManager: java.util.Collection sstablesWithKey(org.apache.cassandra.db.ColumnFamilyStore,org.apache.cassandra.db.DecoratedKey)> | java.lang.VerifyError | Cannot inherit from final class
<org.apache.cassandra.db.compaction.LeveledCompactionStrategy: org.apache.cassandra.db.compaction.AbstractCompactionTask getNextBackgroundTask(long)> | java.lang.VerifyError | Cannot inherit from final class
<org.apache.cassandra.db.compaction.LeveledManifest: java.util.Collection getCandidatesFor(int)> | java.lang.VerifyError | Cannot inherit from final class
<org.apache.cassandra.db.filter.ClusteringIndexNamesFilter: java.lang.String toCQLString(org.apache.cassandra.schema.TableMetadata,org.apache.cassandra.db.filter.RowFilter)> | java.lang.VerifyError | Cannot inherit from final class
<org.apache.cassandra.db.guardrails.Guardrail: java.lang.String decorateMessage(java.lang.String)> | java.lang.VerifyError | Cannot inherit from final class
<org.apache.cassandra.db.lifecycle.Tracker: java.lang.Throwable notifyAdded(java.lang.Iterable,boolean,org.apache.cassandra.db.memtable.Memtable,java.lang.Throwable)> | java.lang.VerifyError | Cannot inherit from final class
<org.apache.cassandra.db.marshal.VectorType: void <init>(org.apache.cassandra.db.marshal.AbstractType,int)> | java.lang.VerifyError | Cannot inherit from final class
<org.apache.cassandra.db.rows.RowAndDeletionMergeIterator: org.apache.cassandra.db.rows.RangeTombstoneMarker closeOpenedRange()> | java.lang.VerifyError | Cannot inherit from final class
<org.apache.cassandra.db.streaming.CassandraCompressedStreamReader: org.apache.cassandra.io.sstable.SSTableMultiWriter read(org.apache.cassandra.io.util.DataInputPlus)> | java.lang.VerifyError | Cannot inherit from final class
<org.apache.cassandra.db.streaming.CassandraIncomingFile: void read(org.apache.cassandra.io.util.DataInputPlus,int)> | java.lang.VerifyError | Cannot inherit from final class
<org.apache.cassandra.db.streaming.CassandraStreamReader: org.apache.cassandra.io.sstable.SSTableMultiWriter read(org.apache.cassandra.io.util.DataInputPlus)> | java.lang.VerifyError | Cannot inherit from final class
<org.apache.cassandra.db.transform.BaseRows: boolean hasNext()> | java.lang.VerifyError | Cannot inherit from final class
<org.apache.cassandra.db.transform.BaseRows: org.apache.cassandra.db.rows.Unfiltered applyOne(org.apache.cassandra.db.rows.Unfiltered,org.apache.cassandra.db.transform.Transformation)> | java.lang.VerifyError | Cannot inherit from final class
<org.apache.cassandra.db.view.TableViews: org.apache.cassandra.db.SinglePartitionReadCommand readExistingRowsCommand(org.apache.cassandra.db.partitions.PartitionUpdate,java.util.Collection,long)> | java.lang.VerifyError | Cannot inherit from final class
<org.apache.cassandra.index.sai.StorageAttachedIndex: void <init>(org.apache.cassandra.db.ColumnFamilyStore,org.apache.cassandra.schema.IndexMetadata)> | java.lang.VerifyError | Cannot inherit from final class
<org.apache.cassandra.index.sai.disk.v1.MemtableIndexWriter: long flush(org.apache.cassandra.index.sai.memory.MemtableTermsIterator)> | java.lang.VerifyError | Cannot inherit from final class
<org.apache.cassandra.index.sai.disk.v1.SSTableIndexWriter: org.apache.cassandra.index.sai.disk.v1.segment.SegmentBuilder newSegmentBuilder()> | java.lang.VerifyError | Cannot inherit from final class
<org.apache.cassandra.index.sai.disk.v1.bitpack.NumericValuesWriter: void <init>(org.apache.cassandra.index.sai.disk.format.IndexDescriptor,org.apache.cassandra.index.sai.disk.format.IndexComponent,org.apache.cassandra.index.sai.disk.v1.MetadataWriter,boolean,int)> | java.lang.VerifyError | Cannot inherit from final class
<org.apache.cassandra.index.sai.disk.v1.vector.BitsUtil: io.github.jbellis.jvector.util.Bits bitsIgnoringDeleted(io.github.jbellis.jvector.util.Bits,org.cliffc.high_scale_lib.NonBlockingHashMapLong)> | java.lang.VerifyError | Cannot inherit from final class
<org.apache.cassandra.index.sai.disk.v1.vector.DiskAnn: org.apache.cassandra.index.sai.disk.v1.postings.VectorPostingList search(float[],int,int,io.github.jbellis.jvector.util.Bits)> | java.lang.VerifyError | Cannot inherit from final class
<org.apache.cassandra.index.sai.disk.v1.vector.OnHeapGraph: void <init>(org.apache.cassandra.db.marshal.AbstractType,org.apache.cassandra.index.sai.disk.v1.IndexWriterConfig,boolean)> | java.lang.VerifyError | Cannot inherit from final class
<org.apache.cassandra.index.sai.memory.MemtableIndex: void <init>(org.apache.cassandra.index.sai.StorageAttachedIndex)> | java.lang.VerifyError | Cannot inherit from final class
<org.apache.cassandra.index.sai.plan.QueryController: org.apache.cassandra.index.sai.iterators.KeyRangeIterator$Builder getIndexQueryResults(java.util.Collection)> | java.lang.VerifyError | Cannot inherit from final class
<org.apache.cassandra.index.sasi.disk.OnDiskIndexBuilder: boolean finish(org.apache.cassandra.index.sasi.disk.Descriptor,org.apache.cassandra.io.util.File)> | java.lang.VerifyError | Cannot inherit from final class
<org.apache.cassandra.index.sasi.memory.MemIndex: org.apache.cassandra.index.sasi.memory.MemIndex forColumn(org.apache.cassandra.db.marshal.AbstractType,org.apache.cassandra.index.sasi.conf.ColumnIndex)> | java.lang.VerifyError | Cannot inherit from final class
<org.apache.cassandra.index.sasi.plan.QueryController: org.apache.cassandra.index.sasi.utils.RangeIterator$Builder getIndexes(org.apache.cassandra.index.sasi.plan.Operation$OperationType,java.util.Collection)> | java.lang.VerifyError | Cannot inherit from final class
<org.apache.cassandra.index.sasi.utils.trie.PatriciaTrie: java.util.SortedMap prefixMap(java.lang.Object)> | java.lang.VerifyError | Cannot inherit from final class
<org.apache.cassandra.io.sstable.SSTableIdFactory: org.apache.cassandra.io.sstable.SSTableId$Builder defaultBuilder()> | java.lang.VerifyError | Cannot inherit from final class
<org.apache.cassandra.io.sstable.format.bti.BtiTableReader: long estimatedKeysForRanges(java.util.Collection)> | java.lang.VerifyError | Cannot inherit from final class
<org.apache.cassandra.io.sstable.format.bti.RowIndexReader: java.lang.String dumpRowIndexEntry(java.nio.ByteBuffer,int,int,org.apache.cassandra.io.sstable.format.Version)> | java.lang.VerifyError | Cannot inherit from final class
<org.apache.cassandra.io.tries.IncrementalTrieWriterPageAware: java.lang.String dumpNode(org.apache.cassandra.io.tries.IncrementalTrieWriterPageAware$Node,long)> | java.lang.VerifyError | Cannot inherit from final class
<org.apache.cassandra.locator.AbstractReplicationStrategy: org.apache.cassandra.service.AbstractWriteResponseHandler getWriteResponseHandler(org.apache.cassandra.locator.ReplicaPlan$ForWrite,java.lang.Runnable,org.apache.cassandra.db.WriteType,java.util.function.Supplier,org.apache.cassandra.transport.Dispatcher$RequestTime,org.apache.cassandra.db.ConsistencyLevel)> | java.lang.VerifyError | Cannot inherit from final class
<org.apache.cassandra.locator.ReplicaPlans: java.util.Collection filterBatchlogEndpointsRandom(boolean,java.lang.String,com.google.common.collect.Multimap,java.util.function.Consumer,java.util.function.Predicate,java.util.function.Function)> | java.lang.VerifyError | Cannot inherit from final class
<org.apache.cassandra.metrics.CassandraMetricsRegistry: void registerMBean(com.codahale.metrics.Metric,javax.management.ObjectName)> | java.lang.VerifyError | Cannot inherit from final class
<org.apache.cassandra.metrics.CassandraMetricsRegistry: org.apache.cassandra.metrics.SnapshottingReservoir createReservoir(java.util.concurrent.TimeUnit)> | java.lang.VerifyError | Cannot inherit from final class
<org.apache.cassandra.net.OutboundConnection: void <init>(org.apache.cassandra.net.ConnectionType,org.apache.cassandra.net.OutboundConnectionSettings,org.apache.cassandra.net.ResourceLimits$EndpointAndGlobal)> | java.lang.VerifyError | Cannot inherit from final class
<org.apache.cassandra.repair.RepairCoordinator: org.apache.cassandra.utils.concurrent.Future repair(java.lang.String[],org.apache.cassandra.repair.RepairCoordinator$NeighborsAndRanges)> | java.lang.VerifyError | Cannot inherit from final class
<org.apache.cassandra.repair.RepairJob: java.util.List createStandardSyncTasks(org.apache.cassandra.repair.SharedContext,org.apache.cassandra.repair.RepairJobDesc,java.util.List,org.apache.cassandra.locator.InetAddressAndPort,java.util.function.Predicate,boolean,boolean,org.apache.cassandra.streaming.PreviewKind)> | java.lang.VerifyError | Cannot inherit from final class
<org.apache.cassandra.repair.RepairJob: java.util.List createOptimisedSyncingSyncTasks(org.apache.cassandra.repair.SharedContext,org.apache.cassandra.repair.RepairJobDesc,java.util.List,org.apache.cassandra.locator.InetAddressAndPort,java.util.function.Predicate,java.util.function.Function,boolean,org.apache.cassandra.streaming.PreviewKind)> | java.lang.VerifyError | Cannot inherit from final class
<org.apache.cassandra.repair.RepairJob: void run()> | java.lang.VerifyError | Cannot inherit from final class
<org.apache.cassandra.repair.Scheduler: org.apache.cassandra.repair.Scheduler build(int)> | java.lang.VerifyError | Cannot inherit from final class
<org.apache.cassandra.repair.asymmetric.RangeMap: java.util.Iterator intersectingEntryIterator(org.apache.cassandra.dht.Range)> | java.lang.VerifyError | Cannot inherit from final class
<org.apache.cassandra.schema.DefaultSchemaUpdateHandlerFactory: org.apache.cassandra.schema.SchemaUpdateHandler getSchemaUpdateHandler(boolean,java.util.function.BiConsumer)> | java.lang.VerifyError | Cannot inherit from final class
<org.apache.cassandra.service.CacheService: org.apache.cassandra.cache.AutoSavingCache initCounterCache()> | java.lang.VerifyError | Cannot inherit from final class
<org.apache.cassandra.service.StorageService: java.lang.String getRemovalStatus(boolean)> | java.lang.VerifyError | Cannot inherit from final class
<org.apache.cassandra.service.pager.PagingState: org.apache.cassandra.service.pager.PagingState legacyDeserialize(java.nio.ByteBuffer,org.apache.cassandra.transport.ProtocolVersion)> | java.lang.VerifyError | Cannot inherit from final class
<org.apache.cassandra.service.pager.PagingState: org.apache.cassandra.service.pager.PagingState modernDeserialize(java.nio.ByteBuffer,org.apache.cassandra.transport.ProtocolVersion)> | java.lang.VerifyError | Cannot inherit from final class
<org.apache.cassandra.service.pager.PartitionRangeQueryPager: org.apache.cassandra.dht.AbstractBounds makeKeyBounds(org.apache.cassandra.db.PartitionPosition,boolean)> | java.lang.VerifyError | Cannot inherit from final class
<org.apache.cassandra.service.paxos.PaxosState: org.apache.cassandra.exceptions.RequestTimeoutException throwTimeout(org.apache.cassandra.schema.TableMetadata,org.apache.cassandra.db.ConsistencyLevel,boolean)> | java.lang.VerifyError | Cannot inherit from final class
<org.apache.cassandra.service.paxos.uncommitted.PaxosUncommittedTracker: org.apache.cassandra.utils.CloseableIterator uncommittedKeyIterator(org.apache.cassandra.schema.TableId,java.util.Collection)> | java.lang.VerifyError | Cannot inherit from final class
<org.apache.cassandra.service.reads.ReadCallback: void awaitResults()> | java.lang.VerifyError | Cannot inherit from final class
<org.apache.cassandra.service.reads.ShortReadPartitionsProtection: org.apache.cassandra.db.partitions.UnfilteredPartitionIterator makeAndExecuteFetchAdditionalPartitionReadCommand(int)> | java.lang.VerifyError | Cannot inherit from final class
<org.apache.cassandra.tools.Util: org.apache.cassandra.schema.TableMetadata metadataFromSSTable(org.apache.cassandra.io.sstable.Descriptor)> | java.lang.VerifyError | Cannot inherit from final class
<org.apache.cassandra.transport.CBUtil: void <clinit>()> | java.lang.VerifyError | Cannot inherit from final class
<org.apache.cassandra.transport.InitialConnectionHandler: void decode(io.netty.channel.ChannelHandlerContext,io.netty.buffer.ByteBuf,java.util.List)> | java.lang.VerifyError | Cannot inherit from final class
<org.apache.cassandra.transport.Message: java.lang.String toString()> | java.lang.VerifyError | Cannot inherit from final class
<org.apache.cassandra.utils.MergeIterator: org.apache.cassandra.utils.MergeIterator get(java.util.List,java.util.Comparator,org.apache.cassandra.utils.MergeIterator$Reducer)> | java.lang.VerifyError | Cannot inherit from final class
<org.apache.cassandra.utils.MerkleTree: org.apache.cassandra.utils.MerkleTree$Node deserializeTree(org.apache.cassandra.io.util.DataInputPlus,org.apache.cassandra.dht.IPartitioner,int,boolean,int)> | java.lang.VerifyError | Cannot inherit from final class
<org.apache.cassandra.utils.MerkleTree: org.apache.cassandra.utils.MerkleTree$OffHeapNode fromPointer(int,java.nio.ByteBuffer,org.apache.cassandra.dht.IPartitioner)> | java.lang.VerifyError | Cannot inherit from final class
<org.apache.cassandra.utils.StatusLogger: void logStatus()> | java.lang.VerifyError | Cannot inherit from final class
<org.apache.cassandra.utils.Throwables: void lambda$perform$0(org.apache.cassandra.utils.Throwables$DiscreteAction,org.apache.cassandra.utils.Throwables$FileOpType,java.lang.String)> | java.lang.VerifyError | Cannot inherit from final class
<org.apache.cassandra.utils.btree.BTree: org.apache.cassandra.utils.btree.BTreeSearchIterator slice(java.lang.Object[],java.util.Comparator,java.lang.Object,boolean,java.lang.Object,boolean,org.apache.cassandra.utils.btree.BTree$Dir)> | java.lang.VerifyError | Cannot inherit from final class
<org.apache.cassandra.utils.btree.BTree: java.util.Iterator iterator(java.lang.Object[],org.apache.cassandra.utils.btree.BTree$Dir)> | java.lang.VerifyError | Cannot inherit from final class
<org.apache.cassandra.utils.btree.BTree: org.apache.cassandra.utils.btree.BTreeSearchIterator slice(java.lang.Object[],java.util.Comparator,int,int,org.apache.cassandra.utils.btree.BTree$Dir)> | java.lang.VerifyError | Cannot inherit from final class
<org.apache.cassandra.utils.btree.BTree: java.util.Iterator iterator(java.lang.Object[],int,int,org.apache.cassandra.utils.btree.BTree$Dir)> | java.lang.VerifyError | Cannot inherit from final class
<org.apache.cassandra.utils.btree.BTree: org.apache.cassandra.utils.btree.BTreeSearchIterator slice(java.lang.Object[],java.util.Comparator,org.apache.cassandra.utils.btree.BTree$Dir)> | java.lang.VerifyError | Cannot inherit from final class
<org.apache.cassandra.utils.concurrent.BlockingQueues: java.util.concurrent.BlockingQueue newBlockingQueue(int)> | java.lang.VerifyError | Cannot inherit from final class
<org.apache.cassandra.utils.memory.SlabAllocator: void <init>(org.apache.cassandra.utils.memory.MemtableAllocator$SubAllocator,org.apache.cassandra.utils.memory.MemtableAllocator$SubAllocator,boolean)> | java.lang.VerifyError | Cannot inherit from final class
<org.apache.commons.lang3.time.FastDateParser: org.apache.commons.lang3.time.FastDateParser$Strategy lambda$getLocaleSpecificStrategy$2(int,java.util.Calendar,java.util.Locale)> | java.lang.VerifyError | Cannot inherit from final class
<org.apache.commons.lang3.time.FastDatePrinter: java.util.List parsePattern()> | java.lang.VerifyError | Cannot inherit from final class
<org.apache.commons.logging.impl.SLF4JLogFactory: org.apache.commons.logging.Log getInstance(java.lang.String)> | java.lang.VerifyError | Cannot inherit from final class
<org.apache.commons.math3.linear.MatrixUtils: org.apache.commons.math3.linear.FieldMatrix createFieldMatrix(org.apache.commons.math3.Field,int,int)> | java.lang.VerifyError | Cannot inherit from final class
<org.apache.commons.math3.linear.MatrixUtils: org.apache.commons.math3.linear.RealMatrix createRealMatrix(double[][])> | java.lang.VerifyError | Cannot inherit from final class
<org.apache.commons.math3.linear.MatrixUtils: org.apache.commons.math3.linear.RealMatrix createRealMatrix(int,int)> | java.lang.VerifyError | Cannot inherit from final class
<org.apache.commons.math3.linear.MatrixUtils: org.apache.commons.math3.linear.FieldMatrix createFieldMatrix(org.apache.commons.math3.FieldElement[][])> | java.lang.VerifyError | Cannot inherit from final class
<org.apache.commons.math3.linear.RealVector: org.apache.commons.math3.linear.RealMatrix outerProduct(org.apache.commons.math3.linear.RealVector)> | java.lang.VerifyError | Cannot inherit from final class
<org.apache.lucene.analysis.ar.ArabicAnalyzer: org.apache.lucene.analysis.Analyzer$TokenStreamComponents createComponents(java.lang.String)> | java.lang.VerifyError | Cannot inherit from final class
<org.apache.lucene.analysis.bg.BulgarianAnalyzer: org.apache.lucene.analysis.Analyzer$TokenStreamComponents createComponents(java.lang.String)> | java.lang.VerifyError | Cannot inherit from final class
<org.apache.lucene.analysis.bn.BengaliAnalyzer: org.apache.lucene.analysis.Analyzer$TokenStreamComponents createComponents(java.lang.String)> | java.lang.VerifyError | Cannot inherit from final class
<org.apache.lucene.analysis.br.BrazilianAnalyzer: org.apache.lucene.analysis.Analyzer$TokenStreamComponents createComponents(java.lang.String)> | java.lang.VerifyError | Cannot inherit from final class
<org.apache.lucene.analysis.ca.CatalanAnalyzer: org.apache.lucene.analysis.Analyzer$TokenStreamComponents createComponents(java.lang.String)> | java.lang.VerifyError | Cannot inherit from final class
<org.apache.lucene.analysis.ckb.SoraniAnalyzer: org.apache.lucene.analysis.Analyzer$TokenStreamComponents createComponents(java.lang.String)> | java.lang.VerifyError | Cannot inherit from final class
<org.apache.lucene.analysis.cz.CzechAnalyzer: org.apache.lucene.analysis.Analyzer$TokenStreamComponents createComponents(java.lang.String)> | java.lang.VerifyError | Cannot inherit from final class
<org.apache.lucene.analysis.da.DanishAnalyzer: org.apache.lucene.analysis.Analyzer$TokenStreamComponents createComponents(java.lang.String)> | java.lang.VerifyError | Cannot inherit from final class
<org.apache.lucene.analysis.en.EnglishAnalyzer: org.apache.lucene.analysis.Analyzer$TokenStreamComponents createComponents(java.lang.String)> | java.lang.VerifyError | Cannot inherit from final class
<org.apache.lucene.analysis.en.KStemmer: java.lang.CharSequence asCharSequence()> | java.lang.VerifyError | Cannot inherit from final class
<org.apache.lucene.analysis.es.SpanishAnalyzer: org.apache.lucene.analysis.Analyzer$TokenStreamComponents createComponents(java.lang.String)> | java.lang.VerifyError | Cannot inherit from final class
<org.apache.lucene.analysis.et.EstonianAnalyzer: org.apache.lucene.analysis.Analyzer$TokenStreamComponents createComponents(java.lang.String)> | java.lang.VerifyError | Cannot inherit from final class
<org.apache.lucene.analysis.eu.BasqueAnalyzer: org.apache.lucene.analysis.Analyzer$TokenStreamComponents createComponents(java.lang.String)> | java.lang.VerifyError | Cannot inherit from final class
<org.apache.lucene.analysis.fi.FinnishAnalyzer: org.apache.lucene.analysis.Analyzer$TokenStreamComponents createComponents(java.lang.String)> | java.lang.VerifyError | Cannot inherit from final class
